province_isocode;region_isocode;cashless_id;date_id;transactions_value;transactions_volume
AC;SM;DBTC;1;8280.289;7735378
AC;SM;DBTC;2;7705.294;7666863
AC;SM;DBTC;3;7941.413;7440945
AC;SM;DBTC;4;7064.948;6283460
AC;SM;DBTC;5;7410.885;6569855
AC;SM;DBTC;6;5526.605;5819847
AC;SM;DBTC;7;7167.146;7066330
AC;SM;DBTC;8;6208.705;7586747
AC;SM;DBTC;9;6834.250;7346030
AC;SM;DBTC;10;7707.538;8263188
AC;SM;DBTC;11;6276.923;7077741
AC;SM;DBTC;12;6773.995;7697290
AC;SM;DBTC;13;6112.669;6679697
AC;SM;DBTC;14;5124.415;6431271
AC;SM;DBTC;15;6002.598;7105383
AC;SM;DBTC;16;6159.356;6696482
AC;SM;DBTC;17;6465.179;7112935
AC;SM;DBTC;18;6642.696;7133061
AC;SM;DBTC;19;6635.060;7167138
AC;SM;DBTC;20;6280.486;6987966
AC;SM;DBTC;21;6872.567;7167295
AC;SM;DBTC;22;6885.598;6811083
AC;SM;DBTC;23;5931.921;7283616
AC;SM;DBTC;24;5696.903;8310274
AC;SM;DBTC;25;7211.211;12156914
AC;SM;DBTC;26;6272.007;11237147
AC;SM;DBTC;27;7679.455;12704696
AC;SM;DBTC;28;8261.040;13062949
AC;SM;DBTC;29;7070.543;13357109
AC;SM;DBTC;30;7693.764;13012042
AC;SM;DBTC;31;8273.970;15034576
AC;SM;DBTC;32;7616.493;15058241
AC;SM;DBTC;33;7003.667;12548947
AC;SM;DBTC;34;6792.176;12850992
AC;SM;DBTC;35;6153.969;13080679
AC;SM;DBTC;36;6945.237;14583727
AC;SM;CRDC;1;35.784;1969208
AC;SM;CRDC;2;33.180;1572303
AC;SM;CRDC;3;30.816;1228730
AC;SM;CRDC;4;21.787;541178
AC;SM;CRDC;5;27.432;503627
AC;SM;CRDC;6;29.341;533564
AC;SM;CRDC;7;31.886;534770
AC;SM;CRDC;8;30.286;566171
AC;SM;CRDC;9;31.878;506158
AC;SM;CRDC;10;38.653;412806
AC;SM;CRDC;11;43.305;474975
AC;SM;CRDC;12;45.835;545423
AC;SM;CRDC;13;40.512;470271
AC;SM;CRDC;14;27.123;545382
AC;SM;CRDC;15;36.409;650518
AC;SM;CRDC;16;39.975;537577
AC;SM;CRDC;17;100.018;504333
AC;SM;CRDC;18;132.231;703120
AC;SM;CRDC;19;149.878;400054
AC;SM;CRDC;20;46.912;441080
AC;SM;CRDC;21;25.622;443909
AC;SM;CRDC;22;26.766;472893
AC;SM;CRDC;23;29.237;501165
AC;SM;CRDC;24;32.143;524901
AC;SM;CRDC;25;32.318;425236
AC;SM;CRDC;26;27.911;332457
AC;SM;CRDC;27;27.911;398404
AC;SM;CRDC;28;34.295;391137
AC;SM;CRDC;29;35.841;484474
AC;SM;CRDC;30;39.092;434241
AC;SM;CRDC;31;41.255;427268
