province_isocode;province_name
AC;Nanggroe Aceh Darussalam
BA;Bali
BB;Kepulauan Bangka Belitung
BE;Bengkulu
BT;Banten
GO;Gorontalo
JA;Jambi
JB;Jawa Barat
JI;Jawa Timur
JK;DKI Jakarta
JT;Jawa Tengah
KB;Kalimantan Barat
KI;Kalimantan Timur
KR;Kepulauan Riau
KS;Kalimantan Selatan
KT;Kalimantan Tengah
KU;Kalimantan Utara
LA;Lampung
MA;Maluku
MU;Maluku Utara
NB;Nusa Tenggara Barat
NT;Nusa Tenggara Timur
PA;Papua
PB;Papua Barat
RI;Riau
SA;Sulawesi Utara
SB;Sumatera Barat
SG;Sulawesi Tenggara
SN;Sulawesi Selatan
SR;Sulawesi Barat
SS;Sumatera Selatan
ST;Sulawesi Tengah
SU;Sumatera Utara
YO;Yogyakarta
