time_date;province_isocode;region_isocode;payment_system_name;category;unit;value
2020-01-01;AC;SM;Debit Cards;Transactions Value;Million IDR;8280288.715
2020-02-01;AC;SM;Debit Cards;Transactions Value;Million IDR;7705293.529
2020-03-01;AC;SM;Debit Cards;Transactions Value;Million IDR;7941412.719
2020-04-01;AC;SM;Debit Cards;Transactions Value;Million IDR;7064947.548
2020-05-01;AC;SM;Debit Cards;Transactions Value;Million IDR;7410885.018
2020-06-01;AC;SM;Debit Cards;Transactions Value;Million IDR;5526604.911
2020-07-01;AC;SM;Debit Cards;Transactions Value;Million IDR;7167146.053
2020-08-01;AC;SM;Debit Cards;Transactions Value;Million IDR;6208705.042
2020-09-01;AC;SM;Debit Cards;Transactions Value;Million IDR;6834249.849
2020-10-01;AC;SM;Debit Cards;Transactions Value;Million IDR;7707537.579
2020-11-01;AC;SM;Debit Cards;Transactions Value;Million IDR;6276922.546
2020-12-01;AC;SM;Debit Cards;Transactions Value;Million IDR;6773995.316
2021-01-01;AC;SM;Debit Cards;Transactions Value;Million IDR;6112669.306
2021-02-01;AC;SM;Debit Cards;Transactions Value;Million IDR;5124415.463
2021-03-01;AC;SM;Debit Cards;Transactions Value;Million IDR;6002597.877
2021-04-01;AC;SM;Debit Cards;Transactions Value;Million IDR;6159356.451
2021-05-01;AC;SM;Debit Cards;Transactions Value;Million IDR;6465179.200
2021-06-01;AC;SM;Debit Cards;Transactions Value;Million IDR;6642695.730
2021-07-01;AC;SM;Debit Cards;Transactions Value;Million IDR;6635059.898
2021-08-01;AC;SM;Debit Cards;Transactions Value;Million IDR;6280486.200
2021-09-01;AC;SM;Debit Cards;Transactions Value;Million IDR;6872567.000
2021-10-01;AC;SM;Debit Cards;Transactions Value;Million IDR;6885597.840
2021-11-01;AC;SM;Debit Cards;Transactions Value;Million IDR;5931921.060
2021-12-01;AC;SM;Debit Cards;Transactions Value;Million IDR;5696903.084
2022-01-01;AC;SM;Debit Cards;Transactions Value;Million IDR;7211211.177
2022-02-01;AC;SM;Debit Cards;Transactions Value;Million IDR;6272007.365
