time_date;province_isocode;region_isocode;payment_system_name;Category;Unit;value
2020-01-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;7735.378
2020-02-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;7666.863
2020-03-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;7440.945
2020-04-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;6283.460
2020-05-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;6569.855
2020-06-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;5819.847
2020-07-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;7066.330
2020-08-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;7586.747
2020-09-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;7346.030
2020-10-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;8263.188
2020-11-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;7077.741
2020-12-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;7697.290
2021-01-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;6679.697
2021-02-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;6431.271
2021-03-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;7105.383
2021-04-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;6696.482
2021-05-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;7112.935
2021-06-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;7133.061
2021-07-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;7167.138
2021-08-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;6987.966
2021-09-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;7167.295
2021-10-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;6811.083
2021-11-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;7283.616
2021-12-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;8310.274
2022-01-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;12156.914
2022-02-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;11237.147
2022-03-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;12704.696
2022-04-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;13062.949
2022-05-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;13357.109
2022-06-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;13012.042
2022-07-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;15034.576
2022-08-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;15058.241
2022-09-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;12548.947
2022-10-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;12850.992
2022-11-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;13080.679
2022-12-01;BA;NU;Debit Cards;Transactions Volume;000 Unit of Transactions;14583.727
2020-01-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;1969.208
2020-02-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;1572.303
2020-03-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;1228.730
2020-04-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;541.178
2020-05-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;503.627
2020-06-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;533.564
2020-07-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;534.770
2020-08-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;566.171
2020-09-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;506.158
2020-10-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;412.806
2020-11-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;474.975
2020-12-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;545.423
2021-01-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;470.271
2021-02-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;545.382
2021-03-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;650.518
2021-04-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;537.577
2021-05-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;504.333
2021-06-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;703.120
2021-07-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;400.054
2021-08-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;441.080
2021-09-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;443.909
2021-10-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;472.893
2021-11-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;501.165
2021-12-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;524.901
2022-01-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;425.236
2022-02-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;332.457
2022-03-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;398.404
2022-04-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;391.137
2022-05-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;484.474
2022-06-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;434.241
2022-07-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;427.268
2022-08-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;445.699
2022-09-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;414.703
2022-10-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;436.236
2022-11-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;427.188
2022-12-01;BA;NU;Credit Cards;Transactions Volume;000 Unit of Transactions;476.275
2020-01-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.969
2020-02-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.572
2020-03-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.229
2020-04-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.541
2020-05-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.504
2020-06-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.534
2020-07-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.535
2020-08-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.566
2020-09-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.506
2020-10-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.413
2020-11-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.475
2020-12-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.545
2021-01-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.470
2021-02-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.545
2021-03-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.651
2021-04-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.538
2021-05-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.504
2021-06-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.703
2021-07-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.400
2021-08-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.441
2021-09-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.444
2021-10-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.473
2021-11-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.501
2021-12-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.525
2022-01-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.425
2022-02-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.332
2022-03-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.398
2022-04-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.391
2022-05-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.484
2022-06-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.434
2022-07-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.427
2022-08-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.446
2022-09-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.415
2022-10-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.436
2022-11-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.427
2022-12-01;BA;NU;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;0.476
2020-01-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.952
2020-02-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.316
2020-03-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.461
2020-04-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;5.826
2020-05-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;4.629
2020-06-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;5.797
2020-07-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.098
2020-08-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;5.766
2020-09-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.217
2020-10-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.024
2020-11-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;7.082
2020-12-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;8.193
2021-01-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.080
2021-02-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;5.785
2021-03-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.483
2021-04-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;5.955
2021-05-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;5.573
2021-06-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.378
2021-07-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;5.931
2021-08-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;5.768
2021-09-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.091
2021-10-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.218
2021-11-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.648
2021-12-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;7.932
2022-01-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.123
2022-02-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;5.213
2022-03-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.435
2022-04-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.929
2022-05-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.096
2022-06-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;6.917
2022-07-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;7.085
2022-08-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;7.555
2022-09-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;7.656
2022-10-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;7.253
2022-11-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;7.762
2022-12-01;BA;NU;Bank Indonesia Real-Time Gross Settlement System;Transactions Volume;000 Unit of Transactions;8.840
2020-01-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;17906.087
2020-02-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;17727.576
2020-03-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;17393.099
2020-04-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;15271.717
2020-05-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;17644.371
2020-06-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;14772.396
2020-07-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;17988.777
2020-08-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;17930.975
2020-09-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;18273.519
2020-10-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;19793.479
2020-11-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;18500.781
2020-12-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;19868.390
2021-01-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;17517.795
2021-02-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;15781.526
2021-03-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;17958.250
2021-04-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;17734.604
2021-05-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;18484.227
2021-06-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;17716.546
2021-07-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;18425.404
2021-08-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;18683.696
2021-09-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;16349.174
2021-10-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;16584.405
2021-11-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;18377.790
2021-12-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;21168.629
2022-01-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;34815.160
2022-02-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;30443.178
2022-03-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;35903.513
2022-04-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;37002.723
2022-05-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;32512.589
2022-06-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;33755.629
2022-07-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;36498.677
2022-08-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;36424.050
2022-09-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;29058.240
2022-10-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;29790.458
2022-11-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;30353.148
2022-12-01;BT;JW;Debit Cards;Transactions Volume;000 Unit of Transactions;32840.518
2020-01-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;2697.856
2020-02-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;2494.608
2020-03-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;2441.003
2020-04-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1674.342
2020-05-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1607.429
2020-06-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1831.388
2020-07-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1940.299
2020-08-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;2019.408
2020-09-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1858.707
2020-10-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1522.275
2020-11-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1771.156
2020-12-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1756.001
2021-01-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1592.773
2021-02-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1817.569
2021-03-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;2205.082
2021-04-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1723.612
2021-05-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1725.678
2021-06-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;2024.117
2021-07-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1451.650
2021-08-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1690.217
2021-09-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1645.092
2021-10-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1761.080
2021-11-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1876.661
2021-12-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1981.056
2022-01-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1777.416
2022-02-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1467.632
2022-03-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1840.384
2022-04-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1719.185
2022-05-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1904.624
2022-06-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1846.374
2022-07-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1835.288
2022-08-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;2047.739
2022-09-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1883.517
2022-10-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;1994.987
2022-11-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;2004.609
2022-12-01;BT;JW;Credit Cards;Transactions Volume;000 Unit of Transactions;2142.873
2020-01-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;2.698
2020-02-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;2.495
2020-03-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;2.441
2020-04-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.674
2020-05-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.607
2020-06-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.831
2020-07-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.940
2020-08-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;2.019
2020-09-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.859
2020-10-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.522
2020-11-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.771
2020-12-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.756
2021-01-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.593
2021-02-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.818
2021-03-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;2.205
2021-04-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.724
2021-05-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.726
2021-06-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;2.024
2021-07-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.452
2021-08-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.690
2021-09-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.645
2021-10-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.761
2021-11-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.877
2021-12-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.981
2022-01-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.777
2022-02-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.468
2022-03-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.840
2022-04-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.719
2022-05-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.905
2022-06-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.846
2022-07-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.835
2022-08-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;2.048
2022-09-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.884
2022-10-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;1.995
2022-11-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;2.005
2022-12-01;BT;JW;Bank Indonesia National Clearing System;Transactions Volume;000 Unit of Transactions;2.143
