company_name;sector
ABM INVESTAMA;Investment Company
ACE HARDWARE INDONESIA;Retail Trade
ACSET INDONUSA;Construction
ADARO ENERGY;Coal Mining
ADHI KARYA;Construction
ADI SARANA ARMADA;Transportation Services
AGUNG PODOMORO LAND;Real Estate
AKASHA WIRA INTERNATIONAL;Consumer Goods Industry
AKBAR INDO MAKMUR STIMEC;Wholesale
AKR CORPORINDO;Trade, Services and Investment
ALAKASA INDUSTRINDO;Metal and Allied Products
ALAM SUTERA REALTY;Real Estate
ALKINDO NARATAMA;Pulp and Paper
ALUMINDO LIGHT METAL INDUSTRY;Metal and Allied Products
ANCORA INDONESIA RESOURCES;Trade, Services and Investment
ANEKA GAS INDUSTRI;Gas Distribution
ANEKA TAMBANG ;Metal and Mineral Mining﻿
ANGKASA PURA I ;Airport Operations
ANGKASA PURA II ;Airport Operations
ANUGERAH KAGUM KARYA UTAMA;Tourism, Restaurant and Hotel
APEXINDO PRATAMA DUTA;Oil and Gas Services
ARGHA KARYA PRIMA INDUSTRY;Plastics and Packaging
ARITA PRIMA INDONESIA;Trade, Services and Investment
ARWANA CITRAMULIA;Ceramics, Glass, and Porcelain
ASAHIMAS FLAT GLASS;Glass
ASIA NATURAL RESOURCES;Trade, Services and Investment
ASIAPLAST INDUSTRIES;Plastics and Packaging
ASTRA AGRO LESTARI;Palm Oil
ASTRA GRAPHIA;Computer and Services
ASTRA INTERNATIONAL;Miscellaneous Industry
ASTRA OTOPARTS;Miscellaneous Industry
ASURANSI JIWA SYARIAH JASA MITRA ABADI;Insurance
ATLAS RESOURCES;Coal Mining
AUSTINDO NUSANTARA JAYA;Food and Renewable Energy
BAKRIE & BROTHERS;Trade, Services and Investment
BAKRIE SUMATERA PLANTATIONS;Agriculture
BAKRIE TELECOM;Telecommunication
BAKRIELAND DEVELOPMENT;Real Estate
BANK ARTHA GRAHA INTERNASIONAL;Finance
BANK ARTOS INDONESIA;Finance
BANK CENTRAL ASIA;Finance
BANK CIMB NIAGA;Finance
