stock_ticker;company_name;initial_stock_listing
ABMM;ABM INVESTAMA;2011-12-06
ACES;ACE HARDWARE INDONESIA;2007-11-06
KUAS;ACE OLDFIELDS;2021-10-25
ACST;ACSET INDONUSA;2013-06-24
ADRO;ADARO ENERGY INDONESIA;2008-07-16
ADMR;ADARO MINERALS INDONESIA;2022-01-03
ADCP;ADHI COMMUTER PROPERTI;2021-05-21
ADHI;ADHI KARYA;2004-03-18
ASSA;ADI SARANA ARMADA;2012-11-12
ADMF;ADIRA DINAMIKA MULTI FINANCE;2004-03-31
RONY;AESLER GRUP INTERNASIONAL;2020-04-09
AYLS;AGRO YASA LESTARI;2020-02-12
AMMS;AGUNG MENJANGAN MAS;2022-08-04
APLN;AGUNG PODOMORO LAND;2010-11-11
TARA;AGUNG SEMESTA SEJAHTERA;2014-07-11
CMPP;AIRASIA INDONESIA;1994-12-08
ADES;AKASHA WIRA INTERNATIONAL;1994-06-13
AIMS;AKBAR INDOMAKMUR STIMEC;2001-07-20
AKRA;AKR CORPORINDO;1994-10-03
GAMA;AKSARA GLOBAL DEVELOPMENT;2012-07-11
ALKA;ALAKASA INDUSTRINDO;1990-07-12
ASRI;ALAM SUTERA REALTY;2007-12-18
FIRE;ALFA ENERGI INVESTAMA;2017-06-09
ALDO;ALKINDO NARATAMA;2011-07-12
BBHI;ALLO BANK INDONESIA;2015-08-12
ALMI;ALUMINDO LIGHT METAL INDUSTRY;1997-01-02
GULA;AMAN AGRINDO;2022-08-03
ATIC;ANABATIC TECHNOLOGIES;2015-07-08
OKAS;ANCORA INDONESIA RESOURCES;2006-03-29
NASA;ANDALAN PERKASA ABADI;2017-08-07
ASPI;ANDALAN SAKTI PRIMAINDO;2020-02-17
ANDI;ANDIRA AGRO;2018-08-16
ANTM;ANEKA TAMBANG;1997-11-27
AKKU;ANUGERAH KAGUM KARYA UTAMA;2004-11-01
APEX;APEXINDO PRATAMA DUTA;2013-06-05
ARCI;ARCHI INDONESIA;2021-06-28
AKPI;ARGHA KARYA PRIMA IND.;1992-12-18
ARGO;ARGO PANTES;1991-01-07
APII;ARITA PRIMA INDONESIA;2013-10-29
DIGI;ARKADIA DIGITAL MEDIA;2018-09-18
ARKA;ARKHA JAYANTI PERSADA;2019-07-10
ARKO;ARKORA HYDRO;2022-07-08
JAYA;ARMADA BERJAYA TRANS;2019-02-21
ARMY;ARMIDIAN KARYATAMA;2017-06-21
HAJJ;ARSY BUANA TRAVELINDO;2023-04-05
ARTA;ARTHAVEST;2002-11-05
ARNA;ARWANA CITRAMULIA;2001-07-17
AMFG;ASAHIMAS FLAT GLASS;1995-11-08
AMOR;ASHMORE ASSET MANAGEMENT INDONESIA;2020-01-14
POLY;ASIA PACIFIC FIBERS;1991-03-12
MYTX;ASIA PACIFIC INVESTAMA;1989-10-10
AGAR;ASIA SEJAHTERA MINA;2019-12-02
APLI;ASIAPLAST INDUSTRIES;2000-05-01
AALI;ASTRA AGRO LESTARI;1997-12-09
ASGR;ASTRA GRAPHIA;1989-11-15
ASII;ASTRA INTERNATIONAL;1990-04-04
AUTO;ASTRA OTOPARTS;1998-06-15
BIPI;ASTRINDO NUSANTARA INFRASTRUKTUR;2010-02-11
ABDA;ASURANSI BINA DANA ARTA;1989-07-06
ASBI;ASURANSI BINTANG;1989-11-29
ASDM;ASURANSI DAYIN MITRA;1989-12-15
AHAP;ASURANSI HARTA AMAN PRATAMA;1990-09-14
ASJT;ASURANSI JASA TANIA;2003-12-23
LIFE;ASURANSI JIWA SINARMAS MSIG;2019-07-09
JMAS;ASURANSI JIWA SYARIAH JASA MITRA ABADI;2017-12-18
ASMI;ASURANSI MAXIMUS GRAHA PERSADA;2014-01-16
AMAG;ASURANSI MULTI ARTHA GUNA;2005-12-23
ASRM;ASURANSI RAMAYANA;1990-03-19
TUGU;ASURANSI TUGU PRATAMA INDONESIA;2018-05-28
AMIN;ATELIERS MECANIQUES D INDONESIE;2015-12-10
ARII;ATLAS RESOURCES;2011-11-08
ANJT;AUSTINDO NUSANTARA JAYA;2013-05-08
ASLC;AUTOPEDIA SUKSES LESTARI;2022-01-25
AVIA;AVIA AVIAN;2021-12-08
IRSX;AVIANA SINAR ABADI;2023-02-07
BNBR;BAKRIE & BROTHERS;1989-08-28
UNSP;BAKRIE SUMATERA PLANTATIONS;1990-03-06
BTEL;BAKRIE TELECOM;2006-02-03
ELTY;BAKRIELAND DEVELOPMENT;1995-10-30
BOLA;BALI BINTANG SEJAHTERA;2019-06-17
BALI;BALI TOWERINDO SENTRA;2014-03-13
KRYA;BANGUN KARYA PERKASA JAYA;2022-07-25
BANK;BANK ALADIN SYARIAH;2021-02-01
AMAR;BANK AMAR INDONESIA;2020-01-09
INPC;BANK ARTHA GRAHA INTERNASIONAL;1990-08-23
BTPN;BANK BTPN;2008-03-12
BTPS;BANK BTPN SYARIAH;2018-05-08
BNBA;BANK BUMI ARTA;2006-06-01
BACA;BANK CAPITAL INDONESIA;2007-10-04
BBCA;BANK CENTRAL ASIA;2000-05-31
MCOR;BANK CHINA CONSTRUCTION BANK INDONESIA;2007-07-03
